CLAVE,NOMBRE
1410,MICROBIOLOGIA GENERAL
1428,TRANSFERENCIA DE MOMENTUM
1400,ESTADISTICA
1408,FARMACOLOGIA I
1402,QUIMICA ANALITICA I
1406,QUIMICA INORGANICA II
1422,INTRODUC. A LA ING. DE PROCESOS META
1426,TERMODINAMICA QUIMICA
1401,FISICOQUIMICA DE IONICA Y ELECTRODIC
1011,CARACTERIZACION Y PROCES D POLIMEROS
1814,DINAMICA Y CONTROL DE PROCESOS
1935,TRABAJO DE INVESTIGACION
167,CONFITERIA
152,ENVASES PARA ALIMENTOS
487,MATEMATICAS SUP. EN ING. QUIM.
1538,CINETICA QUIMICA Y CATALISIS
1540,ELECTROQUIMICA
1543,INGENIERIA DE FLUIDOS
1544,LABORATORIO DE INGENIERIA QUIMICA I
1547,TRANSFERENCIA DE ENERGIA
1500,FISIOLOGIA MICROBIANA
1528,ANALISIS DE SISTEMAS REACCIONANTES E
1530,BENEFICIO DE MINERALES
1531,METALURGIA QUIMICA EXPERIMENTAL
1532,TRANSFORMACIONES DE FASE
1504,QUIMICA ANALITICA II
1507,ANALITICA EXPERIMENTAL I
1508,BIOQUIMICA
1509,FARMACOLOGIA II
1521,QUIMICA ORGANICA III
1503,METROLOGIA
1505,QUIMICA INORGANICA III
1514,FISICOQUIMICA DE ALIMENTOS
1519,QUIMICA DE ALIMENTOS I
1506,QUIMICA ORGANICA III
1206,ESTRUCTURA DE LA MATERIA
1605,QUIMICA INORGANICA IV
1606,QUIMICA ORGANICA IV
1628,QUIMICA ORGANICA III
1602,ANALITICA EXPERIMENTAL I
1603,CINETICA QUIMICA
1604,QUIMICA ANALITICA III
1607,ANALITICA EXPERIMENTAL II
1608,ATENCION FARMACEUTICA
1609,BACTERIOLOGIA
1610,BACTERIOLOGIA EXPERIMENTAL
1614,TOXICOLOGIA
1618,LABORATORIO DE ALIMENTOS I
1620,NUTRICION
1631,FUNDAMENTOS DE PROCESADO ELECTROMETA
1638,TRATAMIENTOS TERMICOS
1640,INGENIERIA DE CALOR
1642,INGENIERIA DE REACTORES I
1644,LABORATORIO UNIFICADO DE FISICOQUIMI
1649,TRANSFERENCIA DE MASA
1619,MICROBIOLOGIA DE ALIMENTOS
1643,INGENIERIA ECONOMICA I
221,INTRODUCCION A LA CIENCIA DE POLIMER
214,ECONOMIA Y ADMINISTRACION I
142,BIOTECNOLOGIA
1706,BIOFARMACIA
1705,ANALISIS DE MEDICAMENTOS
1709,TECNOLOGIA FARMACEUTICA I
1742,INGENIERIA AMBIENTAL
1743,INGENIERIA ECONOMICA II
1749,LABORATORIO D INGENIERIA QUIMICA III
1750,PROCESOS DE SEPARACION
265,MATEMATICAS APLICADAS II
1728,ANALISIS NUMERICO EN FENOMENOS DE TR
1730,COMPORTAMIENTO MECANICO
1731,CORROSION Y PROTECCION
1739,SOLIDIFICACION
1700,ANALITICA EXPERIMENTAL II
1701,BIOQUIMICA GENERAL
141,BIOQUIMICA EXPERIMENTAL
1703,LABORATORIO UNIFICADO DE FISICOQUIMI
1708,INMUNOLOGIA GENERAL
1711,CALIDAD
1712,EVALUACION SENSORIAL
1715,LABORATORIO DE ALIMENTOS II
1716,PROCESOS DE ALIMENTOS
1724,QUIMICA DE ALIMENTOS III
1727,TOXICOLOGIA DE ALIMENTOS
32,POLIMEROS
33,QUIMICA AMBIENTAL
67,QUIMICA ORGANICA V
38,QUIMICA CUANTICA II
39,QUIMICA DE DISPOSITIVOS DEL EDO. SOL
46,QUIMICA DE MATERIALES
48,QUIMICA NUCLEAR
213,DISEÑO DE EQUIPO
215,ECONOMIA Y ADMINISTRACION II
219,INGENIERIA DE SISTEMAS I
256,MATEMATICAS APLICADAS I
276,REOLOGIA Y PROCESAMIENTO DE POLIMERO
182,INTERPRETACION METALOGRAFICA
189,MODELADO FISICO D PROCESOS METALUGIC
1736,INGENIERIA ECONOMICA
1722,QUIMICA DE ALIMENTOS II
1307,ECUACIONES DIFERENCIALES
1502,FISICOQUIMICA DE INTERFASES
186,METALURGIA DE HIERROS COLADOS
156,INOCUIDAD ALIMENTARIA
254,MICROBIOLOGIA GENERAL
1024,PROCESOS DE MANUFACTURA
1806,ASEGURAMIENTO DE CALIDAD
105,DESARROLLO ANALITICO
106,DESARROLLO FARMACEUTICO
107,FARMACOGNOSIA
109,INGENIERIA FARMACEUTICA
111,TECNOLOGIA FARMACEUTICA II
134,ADMINISTRACION FARMACEUTICA
135,FARMACOTERAPIA I
139,LEGISLACION FARMACEUTICA
1802,ANALITICA EXPERIMENTAL III
1803,QUIMICA ANALITICA INSTRUMENTAL II
1804,SEMINARIO I
1805,TRABAJO DE INVESTIGACION I
1807,BIOQUIMICA CLINICA
1808,INTRODUCCION A LA GENOMICA
