CLAVE,NOMBRE,CREDITOS,LABORATORIO,INICIO,VIGENCIA,DEPARTAMENTO,NOMBRE_COMPLETO,EQUIVALENCIA,NOMBRE_INGLES,PORCEN_CAL
1534,QUIMICA INORGANICA COVALENTE,9,L,20001,S,02020200,QUIMICA INORGANICA COVALENTE,0,COVALENT INORGANIC CHEMISTRY,67.00
1637,EQUIL.EN INTER.Y CINETICA FISC,9,L,20001,S,01010200,EQUIL.EN INTER.Y CINETICA FISC,0,EQUIL IN INTER AND PHYSICAL KINETICS,66.90
1634,QUIMICA DE COORDINACION,9,L,20001,S,02020200,QUIMICA DE COORDINACION,0,COORDINATION CHEMISTRY,62.00
1635,COMPUESTOS CARBONILICOS,10,L,20001,S,02030100,COMPUESTOS CARBONILICOS,0,CARBONYLIC PRODUCTS,60.00
1738,BIOQUIMICA CELULAR,9,L,20001,S,04010100,BIOQUIMICA CELULAR,0,CELLULAR BIOCHEMISTRY,60.00
1737,CINETICA QUIMICA,9,L,20001,S,01010200,CINETICA QUIMICA,0,CHEMICAL KINETICS,66.70
1734,QUIMICA ORGANOMETALICA,9,L,20001,S,02020200,QUIMICA ORGANOMETALICA,0,ORGANOMETALLIC CHEMISTRY,67.00
1735,COMPUESTOS ORG. HETEROCICLIC.,10,L,20001,S,02030100,COMPUESTOS ORG. HETEROCICLIC.,0,HETEROCYCLIC ORGANIC COMPOUNDS,60.00
1838,BIOQUIMICA METABOLICA,9,L,20001,S,04010100,BIOQUIMICA METABOLICA,0,METABOLIC BIOCHEMISTRY,60.00
1830,QUIMICA EXPERIMENTAL APLIC.,22,T,20001,S,02030200,QUIMICA EXPERIMENTAL APLIC.,0,APPLIED EXPER CHEMISTRY,100.00
1938,BIOSINTESIS MICROBIANA,9,L,20001,S,04030200,BIOSINTESIS MICROBIANA,0,MICROBIAN BIOSYNTHESIS,66.70
1033,EL LAB. DE CONT. Y DES. ANALIT,6,T,20001,S,02010100,EL LAB. DE CONT. Y DES. ANALIT,0,ANALYTIC CONTROL AND DEVELOPMENT LABORATORY,100.00
1348,FISIOLOGIA,11,L,20001,S,04030100,FISIOLOGIA,0,PHYSIOLOGY,72.70
