IIDPLAZAEM,INUMEMP,INUMPLAZA,TICVEFUNC,TICVEPROG,SICVESUBPR,SICVEDEP,TICVESUBDE,SICVEPART,CCVETIPEJE,CCVECATEG,CNIVELDGP,NTOTHOR,MSDO,TICVETIPCO,SDFECINI,SDFECFIN,SICVENODO,SISTATUS,CUNIPAG,SICVEORGIN,TICVETIPMO,SINUMCAU,SICVELIC,VCDESARECO,VCNUMFOLDG,NPERPAG,SDFECREG,CPROCSIP,TICVECLASA,INUMFOL,SISERIAL,SICVEDEPNO,TICVESDNOD,INUMEMPREG
124571,37398,57860,1,0,13,418,1,121,,D6600,96,40.0000,18200.2000,3,16/02/2008,,8,10,N,0,1,36,0,"QUIMICA GENERAL Especialidad:""Química Inorgánica""",2008019388,200805,29/02/2008,S,0,13288,1,418,0,0
259622,94278,42931,1,2,2,418,2,161,,CF8000,10,32.0000,4950.0000,0,16/11/2007,,8,10,N,0,1,38,0,,2008001483,200801,11/12/2007,S,0,12820,2,418,0,0
259624,94278,43030,1,2,2,418,2,165,,CF8000,10,16.0000,2475.0000,0,16/11/2007,,8,10,N,0,1,38,0,,2008001484,200801,11/12/2007,S,0,12821,1,418,0,0
218574,90266,15143,3,1,5,418,2,121,0,D6600,96,40.0000,21608.6000,3,01/08/2010,31/07/2011,8,10,N,0,3,1,1,BIOQUIMICA VEGETAL,2010062665,201018,13/09/2010,S,0,23304,1,418,0,0
140782,91626,14946,1,1,1,418,2,161,,CF8000,11,32.0000,2822.6000,0,01/11/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
140783,91626,57485,1,1,1,418,2,165,,CF8000,11,16.0000,1411.3000,0,01/11/1996,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
291658,813660,42622,1,0,4,418,1,151,0,EQ5000,50,40.0000,5591.5000,0,01/10/2010,,8,10,N,0,1,28,0,,2011001188,201101,14/12/2010,S,0,23916,2,418,0,0
237994,121997,14762,1,0,20,418,1,151,,ET0600,52,30.0000,5547.1500,0,01/08/2009,,1,10,N,0,1,997,0,,2009502912,200915,05/08/2009,S,0,84601,2,723,0,0
275477,133096,14319,1,0,5,418,1,141,,D9400,84,40.0000,11293.4000,3,04/02/2009,,8,10,N,0,1,28,0,"BIOQUIMICA ESPECIALIDAD EN ""PURIFICACION DE ENZIMAS VEGETALES MEDIANTE TECNICAS CONVENCIONALES Y HPLC""",2009044011,200912,17/06/2009,S,0,18442,2,418,0,0
261766,842097,18170,1,0,1,418,1,151,0,AA0200,50,40.0000,3794.8500,0,24/01/2011,23/04/2011,8,10,N,0,3,61,16,,2011011635,201104,17/02/2011,S,0,24501,1,418,0,0
193825,104999,23032,1,0,6,418,1,151,,ET1700,52,32.5000,4301.6000,0,01/04/2004,,1,1,N,0,1,63,0,,2004031928,200410,19/05/2004,N,0,29611,2,723,0,0
225540,104999,52480,1,0,6,418,1,155,,ET1700,52,15.5000,2150.8000,0,01/04/2004,,1,110,N,0,1,38,0,,2004031927,200410,19/05/2004,,0,0,0,0,0,0
280785,823325,30703,1,3,2,418,1,151,0,A0900,50,30.0000,4623.8500,0,01/11/2009,,8,10,N,0,1,28,0,,2010003889,201002,15/01/2010,S,0,20870,2,418,0,0
263643,76276,66981,3,1,6,418,2,121,,D6600,96,40.0000,18973.7000,3,06/02/2008,,8,10,N,0,1,28,0,FARMACIA,2008039277,200810,14/05/2008,S,0,14517,2,418,0,0
270448,118573,14607,1,0,1,418,1,151,,EO0300,51,32.5000,7188.1000,0,01/10/2010,,1,10,N,0,1,997,0,,2011501614,201109,28/04/2011,S,0,97262,3,723,0,0
270449,118573,65085,1,0,1,418,1,155,,EO0300,51,15.5000,3594.0500,0,01/10/2010,,1,10,N,0,1,997,0,,2011501614,201109,28/04/2011,S,0,97262,4,723,0,0
213847,157113,14655,1,0,1,418,1,151,0,A0800,51,32.0000,4638.3000,0,28/11/2010,,8,10,N,0,1,36,0,,2011001185,201101,14/12/2010,S,0,23896,1,418,0,0
244851,157481,14699,1,0,3,418,1,151,,ET1700,52,32.0000,6665.9000,0,16/02/2011,,1,10,N,0,1,997,0,,2011501027,201107,29/03/2011,S,0,96396,2,723,0,0
276364,805485,67897,3,1,5,418,2,141,,D8600,82,40.0000,10307.2000,3,04/02/2009,,8,10,N,0,1,28,0,"BIOQUIMICA Especialidad ""Técnicas de clonación y estudio de la expresión de genes en plantas""",2009046939,200913,06/08/2009,S,0,18448,2,418,0,0
287480,159868,15234,1,1,1,418,2,151,0,A0900,50,32.0000,4688.1000,0,16/08/2010,,8,10,N,0,1,28,0,,2010065956,201018,13/09/2010,S,0,23406,2,418,0,0
255057,114611,60658,3,1,3,418,2,121,,D6500,93,40.0000,16372.2500,3,13/08/2008,,8,10,N,0,1,36,0,ALIMENTOS Y BIOTECNOLOGIA ESPECIALIDAD QUIMICA DE ALIMENTOS,2008064597,200817,17/09/2008,S,0,15963,1,418,0,0
227153,68689,14255,1,0,6,418,1,121,0,D6500,93,40.0000,18475.7700,3,01/01/2011,,8,10,N,0,1,36,0,FARMACOLOGIA,2011018057,201106,16/03/2011,S,0,24541,1,418,0,0
218575,24682,15111,3,1,12,418,2,121,,D6600,96,40.0000,15326.0000,0,15/06/2003,,1,110,N,0,1,7,0,,2003056268,200317,01/09/2003,,0,0,0,0,0,0
156142,140795,6747,1,1,20,418,2,151,,ET0600,53,30.0000,5504.8000,0,10/05/2008,,8,10,N,0,1,36,0,,2008045136,200812,20/06/2008,S,0,15375,1,418,0,0
216771,741157,58654,1,0,13,418,1,121,0,D6500,93,40.0000,19196.3000,3,01/02/2011,31/01/2012,8,10,N,0,3,1,1,QUIMICA GENERAL,2011018813,201106,16/03/2011,S,0,24776,1,418,0,0
135195,74689,56055,3,1,9,418,2,151,,ET1700,52,32.0000,3972.0000,0,01/01/2002,,1,10,N,0,1,997,0,,2002518348,200204,14/02/2002,S,0,23772,2,723,0,0
268672,805989,14341,1,1,1,418,2,151,0,A0200,50,32.0000,4377.4000,0,08/12/2009,07/03/2010,8,10,N,0,3,61,16,,2010008419,201003,02/02/2010,S,0,21188,1,418,0,0
125912,43548,15042,3,1,9,418,2,121,0,D6600,96,40.0000,21608.6000,3,06/08/2010,,8,10,N,0,1,36,0,METALURGIA FISICA,2010047191,201016,18/08/2010,S,0,22370,1,418,0,0
259461,840492,23215,3,1,2,418,3,147,0,D9500,85,40.0000,13400.2000,4,01/01/2011,31/12/2011,8,10,N,0,1,46,0,UNIDAD DE QUIMICA EN SISAL YUCATAN,2011002201,201102,17/01/2011,S,0,23879,1,418,0,0
260901,840492,82729,3,1,2,418,3,148,0,Z0500,07,0.0000,6700.1000,0,01/01/2011,31/12/2011,8,10,N,0,1,46,0,,2011002202,201102,17/01/2011,S,0,23922,1,418,0,0
125289,41128,15060,3,1,8,418,2,121,,D6400,89,40.0000,8129.9600,0,01/02/1988,,0,1,N,0,1,0,0,,,0,,,0,0,0,0,0,0
220472,105373,87019,3,1,5,418,2,153,0,M3000,00,0.0000,270.0000,0,01/05/2003,,1,68,N,0,1,65,0,,2003300077,200321,03/12/2003,,0,0,0,0,0,0
144881,105373,14484,3,1,5,418,2,151,,EQ5000,52,40.0000,3569.3200,0,01/01/2001,,1,10,N,0,1,997,0,,2001513816,200111,30/05/2001,,0,16048,2,723,0,0
145688,108853,10756,1,1,1,418,2,151,0,AA0400,52,40.0000,4650.2000,0,29/09/2010,12/10/2010,8,10,N,0,3,114,0,,2010094471,201023,02/12/2010,S,0,23697,1,418,0,0
227594,138189,14311,1,0,8,418,1,141,,D9500,85,40.0000,9554.0000,3,01/01/2004,,8,10,N,0,1,7,0,"PLANTAS MEDICINALES Especialidad:"" Separación y aislamiento de metabolitos secundarias de plantas"".",2004046698,200415,09/07/2004,S,0,1317,2,418,0,0
